name,est_diameter_min,est_diameter_max,relative_velocity_mean,miss_distance_mean,miss_distance_min,absolute_magnitude_mean,hazardous,observations,est_diameter_range,est_diameter_mean,est_diameter_min_log1p,est_diameter_max_log1p,est_diameter_mean_log1p,est_diameter_range_log1p,relative_velocity_mean_log1p,miss_distance_mean_log1p,miss_distance_min_log1p,hazardous_enc
(1998 US18),0.1756123185,0.3926810818,87753.3444451559,46714585.893954806,38359395.03966789,20.9,True,2,0.2170687633,0.28414670015,0.1617891339868008,0.3312307251546776,0.250094451194726,0.1964453147099347,11.38229664944907,17.659567027056635,17.46251006332136,1
(1998 VE31),0.1756123185,0.3926810818,54807.010564180615,48485306.28073579,19611759.348583903,20.9,False,6,0.2170687633,0.28414670015,0.1617891339868008,0.3312307251546776,0.250094451194726,0.1964453147099347,10.911591640431595,17.69677136734607,16.79163996204694,0
(1998 VP),0.4023045798,0.8995803882,110945.0199853084,74451412.04209116,74451412.04209116,19.1,False,1,0.4972758083999999,0.650942484,0.3381170116654088,0.6416330134660249,0.5013463272627228,0.403647329215412,11.616799055570482,18.1256572966602,18.1256572966602,0
(1998 VS),0.0921626549,0.2060819612,29361.818148492835,43799191.40974561,24079843.437240228,22.3,False,3,0.1139193062999999,0.14912230805,0.0881598176041852,0.1873770571897662,0.1389984405905313,0.1078847028850694,10.28748446410618,17.59512593704303,16.99688571813653,0
(1998 WA2),0.2914439045,0.6516883822,47365.5220514374,38194650.68452613,38194650.68452613,19.8,False,1,0.3602444777,0.47156614335,0.2557608982318287,0.5017980266762516,0.3863272372904293,0.3076644466072318,10.76567097231117,17.458206055516253,17.458206055516253,0
(1998 WB2),0.1160259082,0.2594418179,55857.8655088963,11066822.482933078,11066822.482933078,21.8,True,1,0.1434159096999999,0.18773386305,0.1097740789226247,0.2306686211424922,0.1720471748423169,0.1340201941291001,10.930583529749358,16.219462315262767,16.219462315262767,1
(1998 WL4),0.3346223745,0.7482383761,90862.43345946868,49158910.46848442,35675694.16361891,19.5,False,5,0.4136160016,0.5414303753,0.288648386295138,0.5586086387022864,0.4327108004735448,0.346150961710272,11.417112927059351,17.71056869979052,17.389980207153272,0
(1999 AF4),0.5303407233,1.1858779086,34786.288132594,17047469.54185973,17047469.54185973,18.5,False,1,0.6555371852999999,0.85810931595,0.4254904055788209,0.7820175366849865,0.6195594739407904,0.5041255394261147,10.45700731548413,16.651512395371917,16.651512395371917,0
(1999 DB2),0.4212646106,0.9419763057,25952.0634039282,41306415.363809645,41306415.363809645,19.0,False,1,0.5207116951,0.68162045815,0.3515470461353097,0.6637061688163278,0.5197578869502281,0.4191784457377155,10.164044931874368,17.536528405762702,17.536528405762702,0
(1999 DJ3),0.1756123185,0.3926810818,53671.2256991153,60017888.92633619,60017888.92633619,20.9,False,1,0.2170687633,0.28414670015,0.1617891339868008,0.3312307251546776,0.250094451194726,0.1964453147099347,10.890650934389557,17.91015324118283,17.91015324118283,0
(1999 EF5),0.3503926411,0.7835017643,60812.2015096975,50158199.20488088,46413561.43219246,19.4,False,2,0.4331091231999999,0.5669472027,0.3003953954223141,0.5785787150509708,0.4491292695707721,0.3598462961212166,11.01556217447864,17.73069257256228,17.653102268284226,0
(1999 EO3),0.4041615334,0.9037326626,51040.9925976056,34744859.5201214,34744859.5201214,19.09,False,1,0.4995711291999999,0.653947098,0.3394403512648158,0.6438165182126863,0.5031646118094595,0.4051791533603356,10.840403957178374,17.363542220335443,17.363542220335443,0
(1999 FJ21),0.2412986969,0.5395602892,50370.55124106494,47255955.80958423,9700990.055248244,20.21,False,6,0.2982615922999999,0.39042949305,0.2161581677526999,0.4314968491615811,0.3296126872214548,0.2610261328763143,10.827181835189542,17.671089274001975,16.087738608898697,0
(1999 FP19),0.2538370294,0.5675968529,63535.5990452261,38707064.43893166,38707064.43893166,20.1,False,1,0.3137598234999999,0.41071694115,0.226208473159057,0.4495437797501018,0.3440980440642779,0.2728931206311153,11.059371381764418,17.47153271081767,17.47153271081767,0
